CODE	NAME	PARENT_CODE
regionalHyperthermiaCHPP	Regional Hyperthermia: Continuous Hyperthermic Peritoneal Perfusion (CHPP)	regionalHyperthermia
regionalHyperthermiaDeepTissue	Regional Hyperthermia: Deep Tissue	regionalHyperthermia
regionalHyperthermiaPerfusion	Regional Hyperthermia: Regional Perfusion	regionalHyperthermia
respiratoryGating	Respiratory Gating	
roboticSurgery	Robotic Surgery	
DaVinciSurgicalSystem	Robotic Surgery (Da Vinci Surgical System)	
smallMoleculeDrugs	Small-molecule drugs	
softTissueManipulation	Soft-Tissue Manipulation with passive stretching	manualTherapy
spaceOarSystem	SpaceOar System	
speechPathology	Speech and language pathology	
spiralCT	Spiral Computed Tomography (CT)	
spyElite	Spy Elite	
spyglass	Spyglass	
stereotacticBodyRadiationTherapy	Stereotactic Body Radiation Therapy	
stereotacticRadiosurgery	Stereotactic Radiosurgery	
stoneTherapy	Stone Therapy	manualTherapy
syngeneicStemCellTransplant	Syngeneic Stem Cell Transplant	
systemicRadiationTherapy	Systemic Radiation Therapy	internalRadiationTherapy
theraSphere	TheraSphere	
thoracentesis	Thoracentesis	
thoracicSurgery	Thoracic Surgery	
thoracotomy	Thoracotomy	
thyroidectomy	Thyroidectomy	
tomotherapy	Tomotherapy	
totalBodyIrradiation	Total Body Irradiation (TBI)	
totalMarrowIrradiation	Total Marrow Irradiation (TMI)	
tracheoesophagealPuncture	Tracheoesophageal Puncture	
traditionalMassage	Traditional Massage	manualTherapy
triggerPointInjection	Trigger Point Injection	
triggerPointTherapy	Trigger Point Therapy	manualTherapy
trilogy	Trilogy	
trueBeam	TrueBeam	
tumorMolecularProfiling	Tumor Molecular Profiling	
vaccines	Vaccines	
vaginalHysterectomy	Vaginal Hysterectomy	
videoAssistedThoracicSurgery	Video-Assisted Thoracic Surgery (VATS)	
wedgeResection	Wedge Resection	
wholeBodyHyperthermia	Whole-body Hyperthermia	hyperthermia
